pl_name,pl_eqt,pl_insol,st_teff,st_rad,habitable
K2-95 b,1093.0,338.4,4915.0,0.812,0
K2-97 b,549.0,21.5,5288.0,0.74,0
K2-98 b,1028.0,93.64,5557.0,1.616,0
K2-99 b,954.0,195.7,5017.0,0.797,0
K2-99 c,841.0,123.802,5232.0,0.891,0
KELT-1 b,633.0,39.631,5232.0,0.891,0
KELT-10 b,501.0,15.536,5232.0,0.891,0
KELT-11 b,398.0,6.22,5295.0,0.83,0
KELT-12 b,480.0,12.56,5229.0,0.903,0
KELT-14 b,613.0,33.34,3871.0,0.532,0
KELT-15 b,714.0,61.49,6572.0,1.238,0
KELT-16 b,1822.0,291.507744,5897.0,1.259,0
KELT-17 b,511.0,16.17,6461.0,1.131,0
KELT-18 b,855.0,126.48,5692.0,1.064,0
KELT-19 A b,406.0,7.8,5868.0,1.042,0
KELT-2 A b,393.0,5.66,5243.0,0.831,0
KELT-20 b,933.0,179.16,6050.0,1.572,0
KELT-21 b,483.0,8.9,6071.0,1.295,0
KELT-23 A b,549.0,30.4,5732.0,1.324,0
KELT-24 b,497.0,25.4,5732.0,1.324,0
KELT-3 b,699.0,56.43,5602.0,1.009,0
KELT-4 A b,391.0,5.51,5661.0,0.934,0
KELT-6 b,1155.0,160.44931200000002,5541.0,0.934,0
KELT-6 c,623.0,39.2,6183.0,1.3,0
KELT-7 b,522.0,16.4,6214.0,1.122,0
KELT-8 b,522.0,9.9,5818.0,1.647,0
KELT-9 b,603.0,29.9,5872.0,1.153,0
KIC 10001893 b,819.0,71.3,5771.0,1.068,0
KIC 10001893 c,942.0,186.14,6310.0,1.095,0
KIC 10001893 d,730.0,67.34,5730.0,1.056,0
KIC 10068024 b,846.0,84.571,5676.0,1.066,0
KIC 10525077 b,656.0,30.546,5676.0,1.066,0
KIC 3526061 b,392.0,3.874,5676.0,1.066,0
KIC 3558849 b,340.0,3.14,5403.0,0.868,1
KIC 5437945 b,1003.0,239.11,5568.0,0.957,0
KIC 5479689 b,773.0,86.0,4931.0,0.734,0
KIC 7917485 b,1088.0,65.5,5129.0,1.781,0
KIC 8121913 b,724.0,64.8,5442.0,0.974,0
KIC 8540376 b,666.0,47.3,5618.0,0.996,0
KIC 8540376 c,501.0,10.7,5808.0,1.397,0
KIC 9663113 b,540.0,20.04,6060.0,0.925,0
KMT-2016-BLG-0212L b,956.0,197.81,4786.0,0.704,0
KMT-2016-BLG-1105L b,380.0,4.91,5436.0,0.888,0
KMT-2016-BLG-1107L b,1075.0,360.262,5302.0,0.759,0
KMT-2016-BLG-1397L b,810.0,115.983,5302.0,0.759,0
KMT-2016-BLG-1820L b,682.0,49.2,5866.0,1.367,0
KMT-2016-BLG-1836L b,1021.0,257.14,5887.0,1.177,0
KMT-2016-BLG-2142L b,1047.0,283.78,5229.0,1.005,0
KMT-2016-BLG-2321L b,713.0,61.24,5191.0,0.764,0
KMT-2016-BLG-2364L b,703.0,57.59,5052.0,0.816,0
KMT-2016-BLG-2397L b,520.0,17.3,4500.0,0.688,0
KMT-2016-BLG-2605L b,598.0,30.3,6036.0,0.949,0
KMT-2017-BLG-0165L b,684.0,51.68,6244.0,1.009,0
KMT-2017-BLG-0428L b,408.0,6.52,3967.0,0.587,0
KMT-2017-BLG-0673L b,770.0,83.04,5831.0,0.921,0
KMT-2017-BLG-0849L b,1165.0,355.735,5345.0,1.108,0
KMT-2017-BLG-1003L b,899.0,126.081,5345.0,1.108,0
KMT-2017-BLG-1038L b,720.0,51.922,5345.0,1.108,0
KMT-2017-BLG-1057L b,781.0,72.119,5731.0,1.063,0
KMT-2017-BLG-1146L b,540.0,16.423,5731.0,1.063,0
KMT-2017-BLG-1194L b,1533.0,242.0,5343.0,0.6846,0
KMT-2017-BLG-2197L b,829.0,111.52,5738.0,0.981,0
KMT-2017-BLG-2331L b,371.0,4.47,5738.0,0.981,1
KMT-2017-BLG-2509L b,581.0,26.91,4245.0,0.637,0
KMT-2018-BLG-0029L b,357.0,3.86,4245.0,0.637,1
KMT-2018-BLG-0030L b,913.0,164.61,5109.0,1.671,0
KMT-2018-BLG-0087L b,479.0,12.48,3867.0,0.552,0
KMT-2018-BLG-0247L b,729.0,66.89,5311.0,0.788,0
KMT-2018-BLG-0748L b,1108.0,356.24,6455.0,1.496,0
KMT-2018-BLG-0885L b,601.0,30.94,5530.0,0.892,0
KMT-2018-BLG-1025L b,877.0,158.2,4901.0,0.716,0
KMT-2018-BLG-1292L b,1041.0,255.584,5333.0,0.749,0
KMT-2018-BLG-1743L b,937.0,168.188,5333.0,0.749,0
KMT-2018-BLG-1976L b,380.0,4.91,5492.0,1.016,0
KMT-2018-BLG-1988L b,455.0,10.11,5561.0,1.19,0
KMT-2018-BLG-1990L b,1034.0,270.34,6174.0,1.103,0
KMT-2018-BLG-1996L b,1059.0,298.2,5167.0,0.787,0
KMT-2018-BLG-2602L b,1022.0,216.9,4922.0,0.823,0
KMT-2019-BLG-0253L b,1711.0,378.04600800000003,4922.0,0.823,0
KMT-2019-BLG-0297L b,763.0,80.01,5516.0,0.967,0
KMT-2019-BLG-0298L b,310.0,2.0,5051.0,0.706,1
KMT-2019-BLG-0335L b,463.0,10.85,5316.0,0.915,0
KMT-2019-BLG-0371L b,1209.0,504.23,6047.0,1.129,0
KMT-2019-BLG-0414L b,760.0,78.99,6090.0,1.071,0
KMT-2019-BLG-0578L b,935.0,239.787,6250.0,1.146,0
KMT-2019-BLG-0842L b,729.0,88.852,6250.0,1.146,0
KMT-2019-BLG-0953L b,561.0,23.41,5841.0,0.931,0
KMT-2019-BLG-1042L b,644.0,40.61,5475.0,0.884,0
KMT-2019-BLG-1216L b,507.0,15.65,5165.0,0.702,0
KMT-2019-BLG-1339L b,718.0,78.0,6000.0,1.126,0
KMT-2019-BLG-1367L b,421.0,7.45,6002.0,1.081,0
KMT-2019-BLG-1552L b,1520.0,306.706176,5123.0,0.847,0
KMT-2019-BLG-1715L b,806.0,99.32,3821.0,0.486,0
KMT-2019-BLG-1806L b,1329.0,420.783256,5423.0,1.404,0
KMT-2019-BLG-1953L b,799.0,96.27,5806.0,0.899,0
KMT-2019-BLG-2783L b,860.0,129.37,5230.0,0.777,0
KMT-2019-BLG-2974L b,1088.0,281.845,5888.0,0.958,0
KMT-2020-BLG-0414L b,857.0,108.717,5888.0,0.958,0
KMT-2020-BLG-0414L c,681.0,35.8,6160.0,0.42413999999999996,0
