pl_name,pl_eqt,pl_insol,st_teff,st_rad,habitable
11 Com b,1700.0,792.57818,4060.0,1.31316,0
11 UMi b,1450.0,372.7434,5253.6,0.84,0
14 And b,1600.0,513.74032,4530.8,0.36645,0
14 Her b,2369.0,427.54252,4530.8,0.289776,0
16 Cyg B b,2677.0,505.722044,7244.6,1.4800799999999998,0
17 Sco b,2506.0,335.96392000000003,4587.2,0.600455,0
18 Del b,1250.0,169.58952,4526.0,0.21887,0
1RXS J160929.1-210524 b,1616.0,513.74032,4587.2,0.672832,0
24 Boo b,1600.0,468.74252,4530.8,0.437589,0
24 Sex b,700.0,151.06598000000002,7295.0,1.48726,0
24 Sex c,700.0,37.8432,5198.0,0.98,0
2M0437 b,1958.0,272.05940799999996,5172.0,0.943,0
2MASS J01033563-5515561 AB b,1400.0,887.5887999999999,6140.0,1.25,0
2MASS J01225093-2439505 b,600.0,21.2,3678.0,0.744,0
2MASS J02192210-3925225 b,459.0,7.3,3678.0,0.744,0
2MASS J0249-0557 c,1820.0,338.110112,4596.0,0.69,0
2MASS J03590986+2009361 b,546.0,32.2444,5766.0,1.08,0
2MASS J04414489+2301513 b,1303.0,789.0233000000001,4993.0,0.797,0
2MASS J11011926-7732383 b,2001.0,646.761,6935.0,1.364,0
2MASS J11550485-7919108 b,438.0,6.76,4405.2,0.185,0
2MASS J12073346-3932539 b,400.0,4.918000000000001,4263.4,0.185,0
2MASS J19383260+4603591 b,483.0,8.934000000000001,4388.697999999999,0.185,0
2MASS J21252752-8138278 b,340.0,3.48294,3857.4,0.185,1
2MASS J22362452+4751425 b,464.0,8.6,4070.4,0.175,0
2MASS J22501512+2325342 b,1800.0,453.43798,3689.0,0.558549,0
4 UMa b,370.0,4.339599999999999,5124.39,0.646482,1
47 UMa b,1800.0,270.9634,4526.0,0.245,0
47 UMa c,434.0,5.72,3936.6,0.388,0
47 UMa d,2600.0,328.57097999999996,4403.0,1.679694,0
51 Eri b,1898.0,435.86543199999994,5950.0,1.11,0
51 Peg b,600.0,16.1089,5075.0,0.79,0
55 Cnc B b,1657.0,420.783256,6440.0,1.37,0
55 Cnc B c,1442.0,661.1334,5675.0,1.116,0
55 Cnc b,1700.0,546.5339,5945.0,1.01,0
55 Cnc c,1952.0,228.717376,6035.0,1.21,0
55 Cnc d,1626.0,310.403512,5740.0,1.59,0
55 Cnc e,1550.0,823.7009,5440.0,1.0,0
55 Cnc f,2000.0,328.57097999999996,6090.0,1.65,0
6 Lyn b,1521.0,932.9076,5625.0,0.906,0
61 Vir b,1024.0,180.8704,5880.0,1.02,0
61 Vir c,885.0,138.8396,5939.0,1.136,0
61 Vir d,1660.0,412.65535600000004,5900.0,1.61,0
7 CMa b,1070.0,226.78652,4950.0,0.86,0
7 CMa c,850.0,99.9982,4950.0,0.86,0
70 Vir b,1330.0,704.674,6040.0,1.19,0
75 Cet b,1600.0,328.57097999999996,5590.0,1.79,0
75 Cet c,1500.0,387.148732,5900.0,1.08,0
8 UMi b,1695.0,310.403512,6740.0,1.56,0
81 Cet b,938.0,132.26,5970.0,0.79,0
91 Aqr b,1747.0,328.57097999999996,6390.0,1.65,0
AB Aur b,1567.0,310.403512,6730.0,1.52,0
AB Pic b,1074.0,203.9517,6190.0,1.17,0
AF Lep b,1438.0,786.2949,6100.0,1.186,0
AT2021ueyL b,1017.0,175.06900000000002,6090.0,1.025,0
AU Mic b,1756.0,349.43764,5275.0,0.83,0
AU Mic c,870.0,162.17361999999997,5080.0,0.77,0
AU Mic d,420.0,5.6664,5625.0,0.96,0
AU Mic e,2200.0,45.54552,4371.0,0.27,0
BD+03 2562 b,877.0,156.9161,6196.0,1.26,0
BD+05 4868 A b,1239.0,862.2967999999998,6196.0,1.26,0
BD+14 4559 b,1632.0,337.241756,6196.0,1.26,0
BD+15 2375 b,1314.0,337.241756,6196.0,1.26,0
BD+15 2940 b,1000.0,190.12492,6500.0,1.78,0
BD+20 2457 b,854.0,107.951,5138.0,0.91,0
BD+20 2457 c,850.0,115.8276,5428.0,0.964,0
BD+20 274 b,2038.0,176.4554,5679.0,0.98,0
BD+20 594 b,960.6,172.9288,5502.7,0.83,0
BD+37 3172 b,431.0,3.5,4057.0,0.58,0
BD+42 2315 b,817.0,101.0,6069.0,1.39,0
BD+45 564 b,1149.0,245.95846,5171.0,0.8,0
BD+48 738 b,866.0,115.6858,5171.0,0.8,0
BD+48 740 b,756.0,79.10999999999999,6004.0,0.98,0
BD+49 828 b,658.0,54.0146,6004.0,0.98,0
BD+55 362 b,536.0,15.9202,4684.0,0.673,0
BD+60 1417 b,316.0,3.387,4684.0,0.673,1
BD+63 1405 b,2299.0,184.426944,5578.0,0.99,0
BD-06 1339 b,804.0,70.0,5578.0,0.99,0
BD-06 1339 c,932.0,103.88896,3782.0,0.32,0
BD-08 2823 b,804.0,69.7,5868.0,0.999,0
BD-08 2823 c,1401.0,642.0,6202.0,1.586,0
BD-10 3166 b,183.0,0.19,4898.0,0.26352359999999997,0
BD-11 4672 b,1616.0,199.2274,5430.0,1.71,0
BD-11 4672 c,990.0,160.0,5430.0,1.71,0
BD-13 2130 b,752.0,53.0,5430.0,1.71,0
BD-14 3065 b,2375.0,427.54252,4587.2,0.5002204000000001,0
BD-17 63 b,453.6,7.06,4428.6,0.170718,0
BD-210397 b,55.9,0.0016,4272.8,0.170718,0
BD-210397 c,1670.0,513.74032,4587.2,0.522432,0
BEBOP-3 b,322.3,1.8,3853.4,0.153162,1
BEBOP-4 AB b,587.0,20.5,4260.8,0.305,0
Barnard b,387.0,3.87,4016.6,0.305,0
Barnard c,534.0,13.57,4471.8,0.177,0
Barnard d,440.6,6.27,4047.8,0.3026,0
Barnard e,230.9,0.67,4541.2,0.42245999999999995,0
CD Cet b,181.7,0.257,4660.6,0.7225999999999999,0
CD-35 2722 b,583.8,19.3,4291.2,0.2211,0
CFBDSIR J145829+101343 b,300.0,1.83152,3853.4,0.2105,1
CFHTWIR-Oph 98 b,567.0,17.2,4454.8,0.2162,0
CHXR 73 b,1089.0,233.0,4638.8,0.391,0
CI Tau c,150.0,0.7304999999999999,3839.0,0.245012,0
COCONUTS-2 b,422.0,10.8612,4640.0,0.695,0
CT Cha b,550.0,15.238,3607.0,0.38,0
CoRoT-1 b,758.0,107.262,4350.780000000001,0.4314,0
CoRoT-10 b,336.0,2.37,4376.4,0.36,1
CoRoT-11 b,216.0,0.404,4276.0,0.36,0
CoRoT-12 b,350.0,3.399,5540.0,0.9,1
CoRoT-13 b,723.0,45.4,3707.0,0.516,0
CoRoT-14 b,407.2,4.58,3707.0,0.516,0
CoRoT-16 b,391.0,6.2082,4014.0,0.58,0
CoRoT-17 b,629.0,13.8,3770.0,0.5066,0
CoRoT-18 b,593.5,29.6584,4176.8,0.547,0
CoRoT-19 b,773.0,59.4,4353.4800000000005,0.364,0
CoRoT-2 b,329.1,1.95,3977.6,0.364,1
CoRoT-20 b,518.0,12.6,3965.0,0.337,0
CoRoT-20 c,401.2,4.45,4447.2,0.337,0
CoRoT-21 b,219.6,0.38,4250.6,0.337,0
CoRoT-22 b,1365.0,579.0,4530.8,0.458,0
CoRoT-23 b,568.0,17.3,4544.4,0.32,0
CoRoT-24 b,317.0,1.68,3853.4,0.32,1
CoRoT-24 c,485.0,9.21,4365.697999999999,0.426,0
CoRoT-25 b,590.0,34.7062,3867.0,0.61,0
CoRoT-26 b,348.0,2.45,4376.4,0.19734,1
CoRoT-27 b,349.83,3.13,3719.0,0.3685,1
CoRoT-28 b,308.6,4.224600000000001,4120.0,0.68,1
CoRoT-29 b,124.7,1.8906,4120.0,0.68,0
CoRoT-3 b,686.0,29.4322,4205.6,0.455,0
CoRoT-30 b,696.3,39.2,4147.6,0.3243,0
CoRoT-31 b,510.0,13.364,6234.0,1.26,0
CoRoT-32 b,202.0,0.28,3728.0,0.5,0
CoRoT-35 b,451.0,9.9,3641.0,0.529,0
CoRoT-36 b,290.5,1.692,3641.0,0.529,1
CoRoT-4 b,401.0,5.31204,3837.0,0.56,0
CoRoT-5 b,611.0,23.32,3799.0,0.52226,0
CoRoT-6 b,829.0,79.0,3913.0,0.56,0
CoRoT-7 b,940.0,130.0,4473.2,0.4144,0
CoRoT-7 c,490.0,9.5,4680.2,0.4144,0
CoRoT-7 d,468.0,7.95,3688.0,0.4712,0
CoRoT-8 b,352.0,2.56,3688.0,0.4712,1
CoRoT-9 b,453.04,11.2016,3836.0,0.57,0
DE CVn b,1035.01,318.0,4236.0,0.58,0
DENIS-P J082303.1-491201 b,715.94,73.0,4236.0,0.58,0
DH Tau b,675.0,34.9,4236.0,0.58,0
DMPP-1 b,2300.0,310.403512,7000.0,1.56,0
DMPP-1 c,2650.0,37.6832,4360.0,0.6394,0
DMPP-1 d,2300.0,349.43764,4200.0,0.90484,0
DMPP-1 e,1050.0,213.78932,4031.81,0.450458,0
DMPP-2 b,1159.07,426.5351,5470.0,0.952,0
DMPP-3 A b,1213.23,512.0235,5720.0,1.064,0
DMPP-4 b,830.0,82.94399999999999,3879.0,0.56,0
DP Leo b,379.0,7.33646,3656.0,0.427,0
DS Tuc A b,314.6,1.62,3853.4,0.2617,1
EPIC 201170410.02,1322.0,259.687,5980.0,1.174,0
EPIC 201238110 b,838.0,100.77,4653.0,0.683,0
EPIC 201427007 b,963.0,118.075,4650.0,0.701,0
EPIC 201497682 b,1740.0,163.8064,5653.0,1.756,0
EPIC 201595106 b,340.0,4.626,5653.0,1.756,1
EPIC 201615463 c,1624.0,606.770356,6600.0,1.447,0
EPIC 201754305 d,904.0,79.7578,5568.0,1.07,0
EPIC 201757695.02,1566.0,465.92029599999995,6140.0,1.158,0
EPIC 201833600 c,800.0,110.512,5246.0,0.87,0
EPIC 201841433 b,852.0,82.2407,4803.0,0.749,0
EPIC 205950854 c,981.2,154.0,4962.0,0.773,0
EPIC 206024342 b,1540.0,588.518,6380.0,1.39,0
EPIC 206024342 c,970.0,85.1168,4595.0,0.694,0
EPIC 206024342 d,1367.0,459.542,5588.0,1.21,0
EPIC 206032309 b,1463.0,325.569,5302.0,1.11,0
EPIC 206042996 b,2056.0,178.1766,5905.0,1.203,0
EPIC 206042996 c,1637.0,420.78325600000005,6373.0,1.38,0
EPIC 206215704 b,1182.0,325.0,5519.0,0.919,0
EPIC 206317286 b,1080.0,185.0743,5079.0,0.87,0
EPIC 206317286 c,1091.99,336.0384,5316.0,0.864673,0
EPIC 211822797 b,1384.0,554.7122,5680.0,1.103,0
EPIC 211945201 b,1281.0,433.0,6087.0,1.3,0
EPIC 212297394 b,1189.0,176.587,5185.0,0.87,0
EPIC 212297394 c,1630.0,420.783256,6304.0,1.31,0
EPIC 212424622 b,1450.0,746.9025,6065.0,1.39,0
EPIC 212499991 b,1835.7,177.38074,6001.0,1.367,0
EPIC 212587672 b,1782.0,328.57097999999996,6446.0,1.79,0
EPIC 212587672 c,1520.0,433.78,6442.0,1.53,0
EPIC 212624936 b,1581.0,267.85447600000003,6096.0,1.435,0
EPIC 212624936 c,1780.97,294.480752,5620.0,1.041,0
EPIC 212737443 b,1271.0,412.3914,5500.0,0.877,0
EPIC 212737443 c,1082.0,243.0337,5330.0,0.923,0
EPIC 220492298 b,1752.0,284.64098,6430.0,1.625,0
EPIC 220554210 c,1686.0,310.403512,5860.0,1.596,0
EPIC 220674823 b,1770.0,134.7014,6080.0,1.1966,0
EPIC 220674823 c,1941.0,81.43906,6390.0,1.5190000000000001,0
EPIC 228836835 b,1428.0,684.0973,5743.0,1.53,0
EPIC 229004835 b,1353.0,521.877,5693.0,1.08,0
EPIC 246851721 b,1108.0,185.119,5295.0,0.949,0
EPIC 248847494 b,1652.0,400.893476,6330.0,1.319,0
EPIC 249893012 b,1458.0,298.333476,6120.0,1.396,0
EPIC 249893012 c,2131.0,249.16172,6820.0,1.622026,0
EPIC 249893012 d,1517.0,850.6754,5960.0,1.12,0
FU Tau b,1862.0,328.57097999999996,6280.0,1.698,0
G 192-15 b,1168.2,310.0,5453.0,0.995,0
G 192-15 c,1218.0,227.759,5131.0,0.893,0
G 196-3 b,1778.0,159.00277599999998,5956.0,1.209,0
G 261-6 b,818.0,88.6713,4390.0,0.617,0
G 264-012 b,1367.0,583.0,5804.0,1.105,0
G 264-012 c,1840.0,341.528552,6566.0,1.47,0
G 268-110 b,2200.0,419.10779999999994,6330.0,1.4342000000000001,0
G 9-40 b,1622.0,310.40351200000003,6078.0,1.53,0
GJ 1002 b,1277.8,441.4,5678.0,1.1038,0
GJ 1002 c,1675.0,421.03238,6570.0,1.62,0
GJ 1061 b,1772.0,295.3392,6212.0,1.342,0
GJ 1061 c,1505.0,849.5,5587.0,0.938,0
GJ 1061 d,1512.0,867.2,5629.0,1.17,0
GJ 1132 b,1237.0,387.4,5400.0,0.9661,0
GJ 1132 c,1766.0,328.57097999999996,6457.0,1.735,0
GJ 1148 b,1818.0,328.57097999999996,5872.0,1.666,0
GJ 1148 c,1896.0,263.27634,6002.0,1.1346,0
GJ 1151 c,1903.0,558.667416,6640.0,1.554972,0
GJ 1214 b,1027.8,184.8,4508.0,0.6701,0
GJ 1252 b,1930.0,173.10690099381952,5478.352501167678,0.9586832829524681,0
GJ 1265 b,2733.0,81.43906,6389.0,1.5190000000000001,0
GJ 1289 b,2562.0,173.10690099381952,5478.352501167678,0.9586832829524681,0
GJ 143 b,1713.0,297.728316,6200.0,1.57,0
GJ 15 A b,1540.0,931.0,6350.0,1.338,0
GJ 15 A c,1359.0,489.9461,5870.0,1.038,0
GJ 160.2 b,1407.0,836.8558,5880.0,1.105,0
GJ 163 b,1596.0,310.403512,6563.0,1.54,0
GJ 163 c,1446.0,566.4817,6357.0,1.17,0
GJ 163 d,1244.0,315.9878,5523.0,0.887,0
GJ 179 b,1276.0,505.884,5346.0,0.933,0
GJ 180 b,1505.0,148.25531200000003,5311.0,0.922,0
GJ 180 c,1592.0,281.455144,5738.0,1.238,0
GJ 180 d,814.0,72.7,5846.0,1.091,0
GJ 2030 b,2069.48,182.461212,5600.0,1.02,0
GJ 2030 c,1550.0,950.0563,5227.0,0.876,0
GJ 2056 b,858.0,111.299,4803.0,0.689,0
GJ 2126 b,1654.0,259.149776,5780.0,1.199,0
GJ 229 A c,2166.0,379.849656,6125.0,1.12,0
GJ 229 b,1277.0,454.8721,5715.0,1.107,0
GJ 238 b,1918.0,233.3634,6071.0,1.4026,0
GJ 251 b,1659.0,328.57097999999996,6438.0,1.74,0
GJ 251 c,1253.0,473.73544,5498.0,0.922,0
GJ 27.1 b,1212.0,356.0,5670.0,1.073,0
GJ 273 b,1648.0,276.05271600000003,6351.0,1.404,0
GJ 273 c,1414.0,718.9097,5943.0,1.061,0
GJ 3021 b,1823.0,296.11980000000005,6050.0,1.207,0
GJ 3082 b,1437.0,614.5934,5700.0,1.097,0
GJ 3090 b,1429.0,757.1284,5659.0,1.022,0
GJ 3090 c,1445.0,691.8428,5380.0,0.98,0
GJ 3138 b,2037.0,180.00375200000002,6300.0,1.433,0
GJ 3138 c,1203.0,561.0,5950.0,1.1,0
GJ 3138 d,1085.0,229.7,5326.0,0.877,0
GJ 317 b,1294.0,464.7,5732.0,1.105,0
GJ 317 c,1645.0,383.41051600000003,6572.0,1.621,0
GJ 3222 b,1315.0,558.828,5403.0,0.925,0
GJ 328 b,2101.0,160.47308,6460.0,1.4196000000000002,0
GJ 328 c,1710.0,170.74179999999998,6424.0,1.71,0
GJ 3293 b,1856.0,310.403512,6060.0,1.48,0
GJ 3293 c,1003.0,192.2328,5099.0,0.812,0
GJ 3293 d,1161.0,306.417,5080.0,0.847,0
GJ 3293 e,1518.0,811.3504,6450.0,1.315,0
GJ 3323 b,1054.0,209.7699,5495.0,0.853,0
GJ 3323 c,852.9,87.73,4512.0,0.6564,0
GJ 3341 b,954.6,137.6,4546.0,0.7152,0
GJ 338 B b,834.8,80.45,4405.0,0.6977,0
GJ 341 b,1025.0,183.2395,5304.0,0.871,0
GJ 3470 b,1275.39,625.3023,5990.0,1.117,0
GJ 3473 b,1553.0,740.2246,5758.0,1.44,0
GJ 3473 c,1834.0,125.58751200000002,6010.0,1.046,0
GJ 3512 b,1312.0,471.61,5644.0,1.101,0
GJ 3512 c,1429.0,476.965,5621.0,1.23,0
GJ 357 b,1367.0,355.909,6214.0,1.126,0
GJ 357 c,1902.0,186.95078000000004,6536.0,1.4857999999999998,0
GJ 357 d,1413.4,570.233,5587.0,0.96,0
GJ 3634 b,1721.0,382.7103,7175.0,1.433,0
GJ 367 b,1128.0,269.0,5670.0,1.036,0
GJ 367 c,175.9,0.159,5670.0,1.036,0
GJ 367 d,712.8,47.3315,3724.0,0.57,0
GJ 3779 b,1528.0,903.9,5688.0,1.46,0
GJ 3929 b,1226.1,374.2,5542.0,1.664,0
GJ 3929 c,1237.0,387.4,5416.0,0.933,0
GJ 393 b,1398.3,634.1,5627.0,1.07,0
GJ 3942 b,1793.0,320.912968,6554.0,1.5939999999999999,0
GJ 3988 b,1634.0,264.06747600000006,6277.0,1.31,0
GJ 3998 b,1998.0,452.8116,6626.0,1.5382799999999999,0
GJ 3998 c,2193.0,420.783256,6594.0,1.441,0
GJ 3998 d,1741.0,328.57097999999996,6147.0,1.748,0
GJ 411 b,1295.7,466.6,5137.0,0.8785,0
GJ 414 A b,1084.0,211.6178,4985.0,0.815,0
GJ 414 A c,2730.0,173.10690099381952,5478.352501167678,0.9586832829524681,0
GJ 422 b,586.8,18.0832,4422.6,0.4783,0
GJ 4274 b,739.3,49.58,4656.1,0.7214,0
GJ 4274 c,895.1,106.9,3776.9,0.5758,0
GJ 4276 b,772.3,59.26,3790.4,0.5848,0
GJ 433 b,939.8,129.8,4016.0,0.6259,0
GJ 433 c,828.3,78.37,4071.0,0.6428,0
GJ 433 d,1324.0,510.8195,5679.0,1.086,0
GJ 436 b,1746.0,310.403512,5599.0,1.56,0
GJ 463 b,834.0,80.0,4675.0,0.63,0
GJ 480 b,747.0,52.0,4675.0,0.63,0
GJ 486 b,1153.0,277.0,6327.0,1.296,0
GJ 504 b,886.0,97.0,6327.0,1.296,0
GJ 508.2 b,1800.0,163.090896,6516.0,1.259,0
GJ 514 b,890.0,117.14658,6255.73,1.20664,0
GJ 536 b,1099.0,312.1807,5660.0,0.877,0
GJ 536 c,932.0,162.1675,5660.0,0.877,0
GJ 581 b,636.0,35.0031,5660.0,0.877,0
GJ 581 c,259.4,0.709,5694.0,1.089,0
GJ 581 e,786.0,63.4589,5881.0,1.0,0
GJ 625 b,756.7,77.4842,5881.0,1.0,0
GJ 649 b,800.0,101.9678,5266.0,0.788,0
GJ 667 C b,699.0,54.62112,5266.0,0.788,0
GJ 667 C c,602.0,32.266200000000005,5266.0,0.788,0
GJ 667 C e,533.0,18.9328,5266.0,0.788,0
GJ 667 C f,489.0,11.758599999999998,5266.0,0.788,0
GJ 667 C g,440.0,9.4046,5266.0,0.788,0
GJ 674 b,957.2,198.3948,6200.0,1.19,0
GJ 676 A b,1371.0,735.49,5732.0,0.968,0
GJ 676 A c,990.0,199.9,5732.0,0.968,0
GJ 676 A d,144.9,0.064,5957.0,1.213,0
GJ 676 A e,1361.0,593.4,5742.0,1.2056,0
GJ 680 b,146.0,0.34736,5742.0,0.27058,0
GJ 682 b,720.0,47.01559999999999,5387.0,0.85,0
GJ 682 c,1585.0,359.85184,6221.6,1.5,0
GJ 685 b,750.83,71.8,5712.0,1.08,0
GJ 687 b,905.0,111.6,5664.0,1.058,0
GJ 687 c,677.0,35.1,5664.0,1.058,0
GJ 720 A b,431.0,5.74,5664.0,1.058,0
GJ 724 b,2130.0,281.125036,5799.0,1.59,0
GJ 740 b,370.0,4.6736,5799.0,1.59,1
GJ 806 b,1228.3,356.0,5521.0,0.8385384,0
GJ 806 c,1042.0,121.2266,6791.0,1.68398,0
GJ 832 b,1626.0,256.782076,6179.0,1.41,0
GJ 849 b,1003.11,265.4,6310.0,1.43,0
GJ 849 c,253.08,133.1,6310.0,1.43,0
GJ 86 b,1001.0,161.7314,5131.0,0.855,0
GJ 876 b,656.1,29.1782,5131.0,0.855,0
GJ 876 c,1462.0,759.183,5801.89,1.21,0
GJ 876 d,668.0,33.14,4757.0,0.762,0
GJ 876 e,532.0,13.37,4757.0,0.762,0
GJ 887 b,900.0,162.6252,5773.0,1.33,0
GJ 887 c,650.0,32.5432,4723.0,0.75,0
GJ 896 A b,159.4,0.1578,5390.0,0.946,0
GJ 900 b,400.5,6.29,5390.0,0.946,0
GJ 9066 c,900.0,129.96815999999998,5570.0,1.09,0
GJ 9404 b,345.0,2.538,6300.0,0.7480680000000001,1
GJ 96 b,888.0,68.8,6046.0,1.517,0
GJ 9689 b,767.0,81.7,4931.0,0.782,0
GJ 9714 b,558.0,22.9,4931.0,0.782,0
GJ 9773 b,363.0,4.09,4931.0,0.782,1
GJ 9827 b,752.0,58.1,5784.0,0.96,0
GJ 9827 c,863.0,145.0,5145.0,0.767,0
GJ 9827 d,1209.0,356.0,5052.0,0.75,0
GPX-1 b,150.0,0.5841999999999999,5552.0,1.14,0
GQ Lup b,880.0,100.0,5348.0,0.94,0
GSC 06214-00210 b,600.0,21.0,5348.0,0.94,0
GU Psc b,540.0,14.3,5348.0,0.94,0
Gaia-1 b,390.0,3.9,5348.0,0.94,0
Gaia-2 b,125.0,0.48434,5348.0,0.94,0
Gaia-4 b,278.0,0.99,5348.0,0.94,1
Gaia-5 b,486.0,19.6152,4976.0,0.74,0
Gaia22dkvL b,355.0,4.19458,5166.0,0.857922,1
Gl 378 b,185.0,10.217539999999998,5166.0,0.857922,0
Gl 410 b,2132.0,173.4224,6272.0,1.2798000000000003,0
Gl 49 b,1040.0,281.0812,5603.0,0.856458,0
Gl 686 b,2141.0,184.967376,5596.0,1.13,0
Gl 725 A b,1429.2,904.58168,6500.0,1.31116,0
Gliese 12 b,1181.9,368.8214,6500.0,1.31116,0
HAT-P-1 b,743.0,72.9,4819.0,0.769,0
HAT-P-11 b,581.75,26.5,5106.0,0.7827,0
HAT-P-11 c,660.0,46.925,5368.0,0.93,0
HAT-P-12 b,388.0,4.757000000000001,5368.0,0.93,0
HAT-P-13 b,1459.0,587.098,6091.0,1.19,0
HAT-P-13 c,380.0,3.44,6273.0,1.206,0
HAT-P-14 b,2128.0,337.528868,5978.0,1.1011,0
HAT-P-15 b,1265.4,647.90506,5978.0,1.1011,0
HAT-P-16 b,637.0,25.7431,5871.0,1.044,0
HAT-P-17 b,701.0,144.765,4640.0,0.695,0
HAT-P-17 c,1015.0,176.2,4699.0,0.778,0
HAT-P-18 b,782.0,62.1,4699.0,0.778,0
HAT-P-19 b,410.5,4.72,4699.0,0.778,0
HAT-P-2 b,522.6,12.38,4699.0,0.778,0
HAT-P-2 c,1076.0,64.2648,5540.0,1.059,0
HAT-P-20 b,789.15,91.6542,5080.0,0.4537548,0
HAT-P-21 b,968.0,201.07476,5784.0,1.147,0
HAT-P-22 b,641.0,42.28302,5784.0,1.147,0
HAT-P-23 b,411.0,8.0176,5784.0,1.147,0
HAT-P-24 b,573.0,26.0,4385.0,0.674,0
HAT-P-25 b,546.0,18.561,6169.0,1.117,0
HAT-P-26 b,543.0,16.0,4684.0,0.71,0
HAT-P-27 b,467.0,7.96,4684.0,0.71,0
HAT-P-28 b,909.0,117.0,4684.0,0.71,0
HAT-P-29 b,723.0,46.7,4684.0,0.71,0
HAT-P-3 b,630.0,26.3,4684.0,0.71,0
HAT-P-30 b,805.0,70.0,5075.0,0.772,0
HAT-P-31 b,469.6,8.1,3933.0,0.57,0
HAT-P-32 b,1198.46,461.4,6353.0,1.4182,0
HAT-P-33 b,1585.57,347.373476,6353.0,1.4182,0
HAT-P-34 b,709.0,42.2,3803.0,0.439,0
HAT-P-35 b,557.0,16.1,3803.0,0.439,0
HAT-P-36 b,2061.0,310.403512,6801.0,1.56,0
HAT-P-37 b,261.0,0.76,5966.0,1.27,0
HAT-P-38 b,867.0,98.7475,6189.0,1.425,0
HAT-P-39 b,643.0,29.9535,6189.0,1.425,0
HAT-P-4 b,561.0,17.3745,6189.0,1.425,0
HAT-P-40 b,2395.0,346.014276,6035.0,1.36,0
HAT-P-41 b,1377.0,488.07216,5766.0,1.08,0
HAT-P-42 b,1066.0,345.9148,5766.0,1.08,0
HAT-P-43 b,945.0,163.17424,5766.0,1.08,0
HAT-P-44 b,450.0,9.1004,3703.49,0.478214,0
HAT-P-44 c,1774.0,104.26595200000001,5261.0,0.88,0
HAT-P-45 b,564.0,16.9,5261.0,0.88,0
HAT-P-46 b,859.5,88.9,5261.0,0.88,0
HAT-P-49 b,374.8,4.976360000000001,5261.0,0.88,0
HAT-P-5 b,990.0,187.3766,5000.0,0.84,0
HAT-P-50 b,798.3,98.09,6128.0,1.266,0
HAT-P-51 b,479.0,11.3814,5666.0,0.897,0
HAT-P-52 b,910.0,141.19642,4956.0,0.716684,0
HAT-P-53 b,696.0,54.68664000000001,4956.0,0.716684,0
HAT-P-54 b,541.0,19.064,4956.0,0.716684,0
HAT-P-55 b,398.0,6.52464,4956.0,0.716684,0
HAT-P-56 b,255.0,1.9458,4956.0,0.716684,0
HAT-P-57 b,337.0,3.16,5727.0,0.999,1
HAT-P-58 b,957.0,138.85,4593.0,0.679,0
HAT-P-59 b,553.0,15.5,4593.0,0.679,0
HAT-P-6 b,349.0,2.46,4593.0,0.679,1
HAT-P-60 b,405.0,7.1850000000000005,6136.0,1.32,0
HAT-P-61 b,943.0,132.0,6203.0,1.194,0
HAT-P-62 b,1133.0,257.066,6117.6,1.751,0
HAT-P-63 b,1075.31,339.1,5934.0,1.0072,0
HAT-P-64 b,967.11,145.5707,5553.0,0.934,0
HAT-P-65 b,678.92,35.3582,5553.0,0.934,0
HAT-P-66 b,1040.0,418.567,5688.0,0.912,0
HAT-P-67 b,825.22,115.6,5513.0,0.9598,0
HAT-P-68 b,619.59,36.7,5513.0,0.9598,0
HAT-P-69 b,911.0,111.9729,6252.6,1.22,0
HAT-P-7 b,714.0,43.3,4511.0,0.65,0
HAT-P-70 b,498.0,10.2,4511.0,0.65,0
HAT-P-8 b,1260.0,602.1985999999999,6117.0,1.23,0
HAT-P-9 b,1128.86,413.1008,6007.0,1.3174,0
HATS-1 b,825.9,113.7,5131.0,0.78,0
HATS-10 b,583.6,28.35,5075.0,0.7821,0
HATS-11 b,499.0,15.17,5075.0,0.7821,0
HATS-12 b,405.0,30.553,5565.0,1.05,0
HATS-13 b,2463.0,269.865108,5959.0,1.22,0
HATS-14 b,203.2,0.142,5837.0,1.062,0
HATS-15 b,640.0,35.88960000000001,5746.0,1.1303,0
HATS-16 b,176.0,0.3836,5863.0,1.053,0
HATS-17 b,1311.0,647.901,5863.0,1.053,0
HATS-18 b,460.0,12.8768,5861.0,1.543,0
HATS-2 b,1089.0,275.6427,5576.0,1.747,0
HATS-22 b,1842.23,203.761112,5908.0,1.0311,0
HATS-23 b,1212.45,543.8,5908.0,1.0311,0
HATS-24 b,1000.0,151.06598000000002,6301.6,1.48667,0
HATS-25 b,385.0,7.42,5097.0,0.868,0
HATS-26 b,156.5,0.1,5722.0,1.088,0
HATS-27 b,751.0,41.924,5212.0,0.728,0
HATS-28 b,721.0,70.61179999999999,4930.0,0.742,0
HATS-29 b,585.0,180.487,4930.0,0.742,0
HATS-3 b,753.2,51.2858,5048.0,0.758,0
HATS-30 b,1300.0,803.59708,6655.0,1.59186,0
HATS-31 b,1123.0,451.0,5289.0,0.98,0
HATS-32 b,920.0,203.0,5289.0,0.98,0
HATS-33 b,959.0,140.0,6320.0,1.273,0
HATS-34 b,757.0,54.0,6320.0,1.273,0
HATS-35 b,367.0,3.01,6320.0,1.273,1
HATS-36 b,335.0,2.1,6320.0,1.273,1
HATS-37 A b,294.0,1.24,6320.0,1.273,1
